r1,s1,r2,s2,r3,s3,r4,s4,r5,s5,r6,s6,r7,s7,r8,s8,r9,s9,r10,s10
(Mary I of England; hypernym; Queen),"Mary I (18 February 1516 – 17 November 1558), also known as Mary Tudor, was the Queen of England and Ireland from July 1553 until her death.","(William S. Taylor; birthPlace; Butler County, Kentucky)","Thus, Taylor served only 50 days as governor.A poorly educated but politically astute lawyer, Taylor began climbing the political ladder by holding local offices in his native Butler County.",(Lady Bird Johnson; hypernym; Lady),"""[11] According to Lady Bird, her Aunt Effie ""opened my spirit to beauty, but she neglected to give me any insight into the practical matters a girl should know about, such as how to dress or choose one's friends or learning to dance.","(Agustín de Iturbide; birthDate; September 27, 1783)","[citation needed]Agustín Cosme Damian de Iturbide y Arámburu was born in what was called Valladolid, now Morelia, the state capital of Michoacán, on 27 September 1783.",(Benjamin Netanyahu; birthPlace; Israel),"[146][147][148][149] Rebecca Vilkomerson, executive director of Jewish Voice for Peace, stated that ""American Jews are largely appalled by the notion that Netanyahu, or any other Israeli politician – one that we did not elect and do not choose to be represented by – claims to speak for us.","(Margaret Theresa of Spain; spouse; Leopold I, Holy Roman Emperor)","[23]Despite the age difference, Leopold I's unattractive appearance and Margaret's apparent goitre[citation needed] (a change of the thyroid gland), according to contemporaries they had a happy marriage.",(Anusheh Asad; spouse; Asad Muzaffar),[citation needed]Anusheh Asad is credited with being the 1st Brand Ambassador for L’oreal Paris in Pakistan.,(Clyde H. Smith; birthPlace; Maine),"Smith served in the Maine House of Representatives from 1899 to 1903 and from 1919 to 1923; he engaged in the retail clothing and hardware business in 1901, and was Hartland's superintendent of schools from 1903 to 1906.From 1904 to 1907, he was a member of the Hartland board of selectmen, and moved to Skowhegan, Maine, having been elected sheriff of Somerset County, serving from 1905 to 1909.",(Jackie Coogan; hypernym; Actor),"[14]The legal battle focused attention on child actors and resulted in the 1939 enactment of the California Child Actor's Bill, often referred to as the ""Coogan Law"" or the ""Coogan Act"".",(John Monger; hypernym; Member),"His younger brother, Joseph Taylor Monger, would also become a York merchant and a Member of the Legislative Council."
"(George Forell; birthDate; September 19, 1919)","[3] He was a scholar, author, lecturer, and guest professor in the field of Christian ethics.Forell was born on September 19, 1919, in Breslau, Germany (now Wrocław, Poland).",(Saskia Burmeister; hypernym; Actress),[7][8]Burmeister made a guest appearance in Blue Heelers and earned the 2006 AFI award for Best Guest or Supporting Actress in a Television Series for her performance in episode 493.,(Philippa of England; spouse; Eric of Pomerania),"After her death Eric formed a relationship with a former lady -in-waiting of Philippa's, Cecilia.","(Agnes of Solms-Laubach; spouse; Maurice, Landgrave of Hesse-Kassel)","On the day after Anna's death, Maurice wrote to King Henry IV of France about his great loss.From her marriage with Maurice, Agnes had following children:",(Sophia of Hanover; birthPlace; The Hague),"A patron of the arts, Sophia commissioned the palace and gardens of Herrenhausen and sponsored philosophers, such as Gottfried Leibniz and John Toland.A daughter of Frederick V of the Palatinate by Elizabeth Stuart, also known as the ""Winter King and Queen of Bohemia"" for their short rule in that country, Sophia was born in The Wassenaer Hof, The Hague, Dutch Republic, where her parents had fled into exile after the Battle of White Mountain.",(Mohammad Hamid Ansari; spouse; Salma Ansari),"[6] He is married to Salma Ansari, fathering two sons and one daughter.","(Tovino Thomas; birthDate; January 21, 1989)",Tovino Thomas (born 21 January 1989) is an Indian film actor and model who appears predominantly in Malayalam films.,(Frederick V of Denmark; hypernym; King),"On 12 October 1730, King Frederick IV died and Frederick's father ascended the throne as King Christian VI.",(Alicia Silverstone; birthPlace; California),"A vegan, Silverstone has endorsed PETA activities and has published a vegan cookbook, The Kind Diet.Silverstone was born in San Francisco, California,[5] the daughter of British parents Deirdre ""Didi"" (née Radford), a Scottish former Pan Am flight attendant, and Monty Silverstone, an English real estate agent.","(Kelly Preston; birthDate; October 13, 1962)","Kelly Kamalelehua Preston (nee Smith, born October 13, 1962) is an American actress and former model."
(Helen Caldicott; birthPlace; Melbourne),[18]Scribe Publications (Australia)ISBN 0908011652Melbourne University PressISBN 0522 85251 3Caldicott has appeared in numerous documentary films and television programs.,(Mohammad Hamid Ansari; ; Aligarh Muslim University),"After attending the St. Xavier's College of Kolkata, he pursued his Master of Arts and Doctor of Philosophy degree from the Aligarh Muslim University.",(John Mica; hypernym; Representative),"He was a staff member for Senator Paula F. Hawkins from 1981–85 and became her chief of staff.In 1992, Mica ran for Congress in the 7th District, previously the 4th District represented by two-term Republican Craig T. James.Mica won the Republican primary with 53% of the vote, defeating State Representative Richard Graham (34%) and Vaughn Forrest (13%).",(Charles A. Kading; spouse; Elizabeth Holst Kading),"[1]Born in Lowell, Wisconsin, Kading was the son of Charles and Elizabeth Baggans Kading.","(Agatha Christie; birthPlace; Devon, England)","[13] Most of her books and short stories have been adapted for television, radio, video games and comics, and more than thirty feature films have been based on her work.Agatha Mary Clarissa Miller was born on 15 September 1890 into a wealthy upper-middle-class family in Torquay, Devon.","(Dyan Cannon; birthDate; January 4, 1937)","She has been nominated for three Academy Awards.Cannon was born Samille Diane Friesen in Tacoma, Washington on January 4, 1937, the daughter of housewife Claire (née Portnoy) and life insurance salesman Ben Friesen.",(V. T. Sambanthan; spouse; Uma Sambanthan),"The Malayan Plantation Agencies administered the estates on behalf of the cooperative.His wife, Toh Puan Umasundari Sambanthan served as chairman and director of the National Land Finance Co- operative Society (NLFC) from 1980 to 1995 and its president in 1995 and 1996.K.",(Lady Bird Johnson; hypernym; Lady),"She and actress Helen Hayes had founded the center in 1982.In November 1968, Columbia Island, in Washington, D.C., was renamed Lady Bird Johnson Park, in honor of her campaign as First Lady to beautify the capital.",(Trajan; hypernym; Emperor),"[278] A Third Century Emperor, Decius, even received from the Senate the name Trajan as a decoration.",(Gao Yuanyuan; hypernym; Actress),"For her performance, Gao won the Best Actress Award at the 18th Beijing Chunyan Awards."
(Rose McConnell Long; hypernym; United),"After Huey's death in 1935, Rose was appointed to serve in the United States Senate.",(Princess Alexandra of Anhalt; birthPlace; Dessau),"As the wife of Sizzo, Prince of Schwarzburg, she was a Princess of Schwarzburg by marriage.Princess Alexandra was born on 4 April 1868 in Dessau as the youngest child of Frederick I, Duke of Anhalt and Princess Antoinette of Saxe-Altenburg.In the late 1880s false rumours of an engagement between Prince Albert Victor of Wales and Princess Alexandra emerged when in fact the couple had never even met.",(Chris Coons; hypernym; United),"Christopher Andrew Coons (born September 9, 1963) is an American politician serving as the Junior United States Senator from Delaware since 2010.",(Wayne Howard; birthPlace; Ohio),"[3]Wayne Howard was born in Cleveland, Ohio, the son of Sherman and June (Monroe) Howard.",(Nicette Bruno; birthPlace; Niterói),"Nicette Xavier Miessa (born 7 January 1933 in Niterói), known professionally as Nicette Bruno, is a Brazilian actress.",(Sultanah Haminah Hamidun; birthPlace; Bagan Serai),"After her husband's death in September 2017, her brother in-law, Sultan Sallehuddin bestowed the title of Che Puan Besar of Kedah or equivalent to a Dowager Sultanah.Born on 15 July 1953 in Kampung Matang Jelutong, Bagan Serai, Perak.",(Callie Khouri; spouse; T Bone Burnett),"In 2016, Nashville moved to CMT.Carolyn Ann (Callie) Khouri was born in San Antonio, Texas, but was brought up in Kentucky.",(Gloria Amon Nikoi; birthPlace; Ghana),"[8]She was married to Amon Nikoi, a former Governor of the Bank of Ghana and Finance minister, with whom she had three children.","(Laura Linney; birthDate; February 5, 1964)","Laura Leggett Linney (born February 5, 1964) is an American actress and singer.","(Prince Aimone, Duke of Aosta; hypernym; Prince)","[10][11][12][13][14] After the dismissal of Mussolini on 25 July 1943, the prince abdicated on 31 July as king on the orders of Victor Emmanuel III.Prince Aimone Roberto Margherita Maria Giuseppe Torino of Savoy-Aosta was born in Turin the second son of Prince Emanuele Filiberto, Duke of Aosta (eldest son of Prince Amedeo, 1st Duke of Aosta (and sometime ""King Amadeo I of Spain"") by his wife, née Vittoria dal Pozzo, Principessa della Cisterna) and Princess Hélène of Orléans (daughter of Philippe, comte de Paris and Princess Marie Isabelle of Orléans)."
"(Bill Delahunt; birthPlace; Quincy, Massachusetts)","[1]Born in Quincy, Massachusetts, Delahunt was educated at Thayer Academy, Middlebury College and Boston College Law School and later served in the United States Coast Guard Reserve.",(Marie Dubois; hypernym; Actress),and Descente aux enfers (for which she received a second César nomination for Best Supporting Actress in 1987 for her role as Lucette Beulemans[3]).Dubois married French film actor Serge Rousseau in 1961.,(Umberto II of Italy; hypernym; King),"He reigned for 34 days,[1] from 9 May 1946 to 12 June 1946, although he had been de facto head of state since 1944, and was nicknamed the May King (Italian: Re di Maggio).Umberto was the only son among the five children of King Victor Emmanuel III and Queen Elena.",(Margaret of York; birthPlace; England),"With the death of Richard, the House of York ceased to rule in England.",(Benjamin Netanyahu; hypernym; Minister),"The three-day official visit included a delegation of business representatives, and Netanyahu and Prime Minister of Australia Malcolm Turnbull were scheduled to sign several bilateral agreements.",(Cate Blanchett; spouse; Andrew Upton),"[106][107][108]In 2017, Blanchett starred in the Sydney Theater Company play The Present, Andrew Upton's adaption of Anton Chekhov's play Platonov, directed by John Crowley.",(Frederick V of Denmark; hypernym; King),"During his second marriage, the king had a relationship with Charlotte Amalie Winge.Their most notable child was the Hereditary Prince Frederick, who was, in his turn, father of King Christian VIII of Denmark and grandfather of Louise of Hesse, the future queen of Denmark.",(Kevin Bacon; spouse; Kyra Sedgwick),"[40]Bacon has been married to actress Kyra Sedgwick since September 4, 1988; they met on the set of the PBS version of Lanford Wilson's play Lemon Sky.","(James Alger Fee; birthDate; September 24, 1888)","James Alger Fee (September 24, 1888 – August 25, 1959) was a United States Circuit Judge of the United States Court of Appeals for the Ninth Circuit and previously was a United States District Judge of the United States District Court for the District of Oregon.",(Geoffrey Harley Mewton; birthPlace; Australia),"[4][5]On returning home to Melbourne, Australia on 13 September 1932, Mewton set up his own office."
"(Betty Friedan; birthDate; February 4, 1921)","Betty Friedan (/ˈfriːdən, friːˈdæn, frɪ-/[1][2][3][4][5] February 4, 1921 – February 4, 2006) was an American feminist writer and activist.",(Brenda Hatfield; birthPlace; New Orleans),"Prior to her appointment as CAO, she served as Director of Intergovernmental Relations for the administration.During the immediate aftermath of Hurricane Katrina, Hatfield set up base of operation in Baton Rouge for city personnel to begin the operations for emergency relief funding for New Orleans' citizens and city government.",(Ralph Bellamy; hypernym; Actor),"Bellamy kept up the pace through the decade, receiving a nomination for the Academy Award for Best Supporting Actor for his role in The Awful Truth (1937) with Irene Dunne and Cary Grant, and played a similar part, that of a naive boyfriend competing with the sophisticated Grant character, in His Girl Friday (1940).",(Alan Grayson; birthPlace; United States),[88]Grayson has been an outspoken opponent of plans for the United States to intervene in the Syrian civil war.,(Princess Leopoldina of Savoy; birthPlace; Turin),"She was the older sister of the princesse de Lamballe.Leopoldina Maria, Princess of Savoy was born at the Palazzo Carignano in Turin, the capital of the Kingdom of Sardinia.",(Benjamin Netanyahu; hypernym; Minister),"[307]Netanyahu has a close relationship with Hungarian Prime Minister Viktor Orbán, their having known each other for decades due to the privileged relationship between the Likud Party and the EPP, the European People's Party.",(Johann Lamont; ; University of Glasgow),"She announced her resignation in October 2014, and following a leadership election to replace her, was succeeded by former Secretary of State for Scotland Jim Murphy in December 2014.Born in Glasgow, Lamont attended Woodside Secondary School and obtained a degree from the University of Glasgow.",(Caroline of Brunswick; spouse; George IV of the United Kingdom),"George and Caroline married the following year, and nine months later Caroline had a child, Princess Charlotte of Wales.Shortly after Charlotte's birth, George and Caroline separated.",(Traudl Junge; hypernym; Hitler),"During Hitler's last days in Berlin, he would regularly eat lunch with his secretaries Junge and Gerda Christian.",(Mohammad Hamid Ansari; hypernym; President),"[18]According to the Constitution of India, Ansari, as Vice-President of the Republic, also serves ex officio as Chairman of the Rajya Sabha.Ansari is a West Asia scholar and has written on the Palestinian issue and taken positions inconvenient to the Indian official line on Iraq and Iran."
(Trevor Howard; hypernym; Actor),"He made a cameo in Around the World in 80 Days (1956) and again played a villain to an American star, Victor Mature, in Warwick's Interpol (1957).Howard starred in Manuela (1957) then supported William Holden in Carol Reed's The Key (1958), for which he received the Best Actor award from the British Academy of Film and Television Arts.",(Justin Hartley; hypernym; Actor),"Since 2016, he has starred in the NBC drama series This Is Us, for which he was nominated for the Critics' Choice Television Award for Best Supporting Actor in a Drama Series.Hartley was born in Knoxville, Illinois, and was raised in Orland Park, with his brother Nathan, and sisters Megan and Gabriela.","(Gary Gygax; birthDate; July 27, 1938)","Ernest Gary Gygax (/ˈɡaɪɡæks/ GY-gaks; July 27, 1938 – March 4, 2008)[3] was an American game designer and author best known for co-creating the pioneering role-playing game Dungeons & Dragons (D&D) with Dave Arneson.In the 1960s, Gygax created an organization of wargaming clubs and founded the Gen Con gaming convention.",(Helen Silvermaster; birthPlace; Russian Empire),"Helen P. Silvermaster (July 19, 1899 — December 22, 1991) was an accused Soviet spy.Elena Witte was born in 1899 in the Russian Empire.","(Dave Farrow; birthDate; January 10, 1975)","[3] Both records were accomplished under the controlled supervision of multiple cameras and multiple independent witnesses.Dave Farrow was born on January 10, 1975, in Kitchener, Ontario, to Wayne and Virginia Farrow.",(Bernard Manning; birthPlace; Ancoats),"[3][4]Manning was born in Ancoats, Manchester.",(Suharto; hypernym; President),"The Japanese surrender and Proclamation of Indonesian Independence in August 1945 occurred while Suharto was posted to the remote Brebeg area (on the slopes of Mount Wilis) to train new NCOs to replace those executed by the Japanese in the aftermath of the failed February 1945 PETA Revolt in Blitar, led by Supriyadi.Two days after the Japanese surrender in the Pacific, independence leaders Sukarno and Hatta declared Indonesian independence, and were appointed President and Vice-President respectively of the new Republic.",(Michael Langrish; hypernym; Bishop),"The others signatories (referred to, since there were nine, as the ""Nazgûl"") were: Michael Scott-Joynt (Bishop of Winchester), Michael Nazir-Ali (Rochester), Peter Forster (Chester), James Jones (Liverpool), George Cassidy (Southwell & Nottingham), Graham Dow (Carlisle), John Hind (Chichester) and David James (Bradford).He was one of four English diocesan bishops who did not ordain women to the priesthood.Since 1968 Langrish has been married to the former Esther Rudd; they have one son and two daughters.",(Benjamin Netanyahu; hypernym; Minister),[39] Netanyahu was the Likud's candidate for Prime Minister in the 1996 Israeli legislative election which took place on 26 May 1996 and were the first Israeli elections in which Israelis elected their Prime Minister directly.,"(Mary I of England; birthDate; February 18, 1516)","After Mary's death in 1558, her re-establishment of Roman Catholicism was reversed by her younger half-sister and successor Elizabeth I, daughter of Henry and Anne Boleyn, at the beginning of the 45-year Elizabethan era.Mary was born on 18 February 1516 at the Palace of Placentia in Greenwich, England."
(Philippa of England; hypernym; Queen),"Philippa of England (4 June 1394 – 5 January 1430), also known as Philippa of Lancaster, was Queen of Denmark, Sweden, and Norway from 1406 to 1430 by marriage to Eric of Pomerania.",(Arthur Foulkes; spouse; Joan Eleanor Foulkes),[4] Foulkes is married to the former Joan Eleanor Bullard of Nassau.,(Anthea McIntyre; hypernym; Member),"Anthea Elizabeth Joy McIntyre (born 29 June 1954) is a British Conservative Party Member of the European Parliament for the West Midlands, serving since 2011.Born in London, the daughter of David Scott McIntyre and Joy Irma Stratford McIntyre, she was educated at the independent Claremont School, Esher, and Queen's College, London.",(Sam H. Jones; birthPlace; Louisiana),"They were Methodists.Jones is honored by the Sam Houston Jones State Park in Moss Bluff, which contains a statue of the former governor.In 2016, Jones was posthumously inducted into the Louisiana Political Museum and Hall of Fame in Winnfield, twenty-three years after the inclusion of his old rival, Earl Long.",(Joan Hickson; hypernym; Actress),"Hickson played the role in all 12 adaptations of the novels produced from 1984 to 1992, and received two BAFTA nominations for Best TV Actress, 1987 and 1988.",(Manoel de Oliveira; hypernym; Director),"[40] The film was screened in competition at the 1996 Venice Film Festival and won Oliveira the award for Best Director at the 1996 Portuguese Golden Globe Awards.In 1997 Oliveira made Voyage to the Beginning of the World (Viagem ao Princípio do Mundo), which was the final film of Italian film star Marcello Mastroianni.",(Lady Bird Johnson; spouse; Lyndon B. Johnson),"[31]In December 1973, after President Nixon established the Lyndon Baines Johnson Memorial Grove on the Potomac, he notified Lady Bird via a telephone call.",(Benjamin Netanyahu; birthPlace; Israel),"[120][121]In 2012, Netanyahu initially planned to call early elections, but subsequently oversaw the creation of a controversial government of national unity to see Israel through until the national elections of 2013.","(Alicia Silverstone; birthDate; October 4, 1976)","Alicia Silverstone (/ˈsɪlvərstoʊn/; born October 4, 1976)[1] is an American actress.",(Philippa of England; spouse; Eric of Pomerania),"The revised Act stated that upon the death of Eric, Queen Philippa should be appointed Regent of the realm until Bogusław could be instated as King; and should Bogusław inherit the three Kingdoms while still a minor, Philippa would serve as Regent during his minority."
(Otto Vincent Lange; hypernym; Lange),"Otto Vincent Lange (30 November 1797 – 4 November 1870) was a Norwegian politician.Lange was born in Jevnaker, but moved to Arendal.",(Richard Dietz; birthPlace; Pennsylvania),[1]Dietz grew up in a small Pennsylvania Dutch family with roots in the mountains of north central Pennsylvania.,(Matthias Shepler; spouse; three),"He was interred in Shepler Church Cemetery, near Navarre.Shepler was married three times, first in 1816.",(Dorothy Livesay; birthPlace; Manitoba),"Alan Crawley agreed to edit the magazine, and the first issue of Contemporary Verse appeared in September 1941,[4] After Macnair died in 1959, Livesay worked for UNESCO in Paris, and then in Northern Rhodesia (now Zambia) as a field worker from 1960 to 1963.Between 1951 and 1984, she was an instructor and a writer-in-residence at many Canadian universities, including the University of British Columbia (1951–53 and 1966–68), University of New Brunswick (1966–1968), University of Alberta (1968–1971), University of Victoria (1972–1974), University of Manitoba (1974–76), Simon Fraser University (1980–82), and University of Toronto (1983–84).",(Henry Phillpotts; hypernym; Bishop),"The gardens in the 25 acres (100,000 m2) of private land stretching to the sea are still a major attraction today together with the Bishop's Walk at the local beauty spot of Ansteys Cove.Phillpotts was aware that his appointment to Exeter was not popular locally and knowing of his unpopularity he at times took measures to protect himself from it.",(Olivia Colman; hypernym; Actress),"Her portrayal of Anne, Queen of Great Britain in Lanthimos's The Favourite (2018) won her the Academy Award for Best Actress.Colman was born in Norwich, Norfolk, the daughter of Mary (Leakey), a nurse, and Keith Colman, a chartered surveyor.",(Constance Towers; spouse; John Gavin),"[16] Clive Barnes praised Towers in the role,[17] and theatre writer John Kenrick calls her performance on the 1977 cast album ""great.",(Elizabeth H. Roberts; hypernym; Governor),"Elizabeth H. Roberts (born April 17, 1957) was the 68th Lieutenant Governor of the State of Rhode Island from 2007 to 2015.",(Reza Shah; hypernym; Shah),[48] The Shah also encouraged women to discard hijab.,(Savitri Jindal; birthPlace; India),Jindal Steels is the third-largest producer of steel in India.
(James Alger Fee; hypernym; United),"[1]Fee received a recess appointment from President Herbert Hoover on March 18, 1931, to a seat on the United States District Court for the District of Oregon vacated by Judge Robert S. Bean.",(George Voinovich; birthPlace; Cleveland),[4][7][8][9]Voinovich grew up in the Collinwood neighborhood of Cleveland and graduated from Collinwood High School in 1954.,"(Gao Yuanyuan; birthDate; October 5, 1979)","Gao Yuanyuan (simplified Chinese: 高圆圆; traditional Chinese: 高圓圓; pinyin: Gāo yuányuán, born 5 October 1979) is a Chinese actress and model.Gao Yuanyuan was born in Beijing and graduated from China Institute of Industrial Relations.",(John Monger; spouse; Henrietta Joaquina Manning),"Monger spent much of his early life in England, and again visited England in 1856-57, where he married Henrietta Joaquina Manning on 21 July 1857.",(Farah Khan; hypernym; Director),Khan became the second female director to be nominated for Filmfare Best Director Award.,(Denise Trauth; birthPlace; Cincinnati),"[1]Trauth was born on May 20, 1947 and grew up in Cincinnati, Ohio.",(Jeff Landry; birthPlace; Louisiana),Landry named a task force to zero in on the issue without consultation with the Louisiana State Police or the New Orleans Police Department.,(Finn Ronne; hypernym; Explorer),The Finn Ronne Memorial Award is awarded by The Explorers Club to an individual noted for accomplishments in polar field research that best typify the spirit of Explorer Finn Ronne.,(Anne Neville; birthPlace; Warwick Castle),"Her only child was Edward of Middleham, who predeceased her.Anne Neville was born at Warwick Castle, the younger daughter of Richard Neville, 16th Earl of Warwick, and Anne de Beauchamp.",(Benjamin Netanyahu; birthPlace; Israel),"[139] Not long thereafter, Jeffrey Goldberg of The Atlantic reported that the relationship between Netanyahu and the White House had reached a new low, with the U.S. administration angry over Israel's settlement policies, and Netanyahu expressing contempt for the American administration's grasp of the Middle East."
(Ivan III of Russia; birthPlace; Moscow),"[21] Ivan died on 27 October 1505, and was succeeded by his son, Vasily III.The only biography in English of Ivan is J. L. I. Fennell, Ivan the Great of Moscow (1961).",(Robert P. Briscoe; spouse; Katherine Lewis),"[2][5] He was survived by his wife Katherine (Lewis), sister Marquerite Briscoe and brothers William and Beverly Briscoe.",(Philippa of England; hypernym; Queen),"The 26 November 1405, Philippa was married to Eric by proxy in Westminster, with the Swedish nobleman Ture Bengtsson Bielke as the stand-in for the groom, and on 8 December, she was formally proclaimed Queen of Denmark, Norway and Sweden in the presence of the Nordic ambassadors.","(Darcey Bussell; birthDate; April 27, 1969)","Dame Darcey Andrea Bussell, DBE (born Marnie Mercedes Darcey Pemberton Crittle;[1] 27 April 1969) is an English retired ballerina[2] and a former judge on the BBC television dance contest Strictly Come Dancing.Trained at the Arts Educational School and the Royal Ballet School,[3] Bussell started her professional career at Sadlers Wells Royal Ballet, but after only one year she moved to the Royal Ballet, where she became a principal dancer at the age of 20 in 1989.",(Umberto II of Italy; hypernym; King),Umberto II (Italian: Umberto Nicola Tommaso Giovanni Maria di Savoia; 15 September 1904 – 18 March 1983) was the last King of Italy.,(Betty Friedan; spouse; Carl Friedan),"Betty wanted to change that for ever.Indeed, Carl Friedan had been quoted as saying ""She changed the course of history almost singlehandedly.",(Joe Cipriano; hypernym; Voice),"From 1987 to 1992, Cipriano produced and hosted two shows that aired in Tokyo, Yokohama, Osaka and Kobe, Japan: the L.A. Express and Toyota California Classics.Cipriano has also filled-in for Casey Kasem on American Top 40.Cipriano has appeared in commercials with several national spots, and in acting for TV and movies.In 2005 Cipriano was one of 13 contributors to the book, Secrets of Voice Over Success by Joan Baker.In 2011, Cipriano and his wife Ann co-wrote the book, Living On Air - Adventures in Broadcasting.",(Janice Min; hypernym; Editor),"[13] For her work at Us Weekly, Min was named AdWeek magazine's Editor of the Year.",(Aaron Kramer; hypernym; Poet),"He translated and edited the work 135 Yiddish poets were published as part of “A Century of Yiddish Poetry”.Drawing largely from the records of Dowling College[7] and his obituary in the New York Times,[2] Kramer's published works include:Recordings:Scholarly Works:Anthologies:Poetry:Collection:Essays:Translations:Edited and translated:Editing:""In later years, Kramer co-edited West Hills Review: a Whitman Journal, and edited or co-edited numerous other anthologies.","(Rita Hayworth; birthDate; October 17, 1918)","Rita Hayworth (born Margarita Carmen Cansino; October 17, 1918 – May 14, 1987) was an American actress and dancer."
(Ruth Payne Burgess; spouse; John Burgess),"[7][11]John William Burgess died of a heart attack in Brookline, Massachusetts on January 13, 1931.",(Lady Bird Johnson; hypernym; Lady),"[63]In the 1970s, Lady Bird focused her attention on the Austin riverfront area through her involvement in the Town Lake Beautification Project.",(Vasili IV of Russia; hypernym; Tsar),"Despite being fully aware that Tsar Boris ordered the assassination of the child Tsarevich Dmitriy, Vasili Shuisky remains outwardly loyal, only switching his support to the Pretender when the latter appears likely to win.","(Christiane Henriette, Countess Palatine of Zweibrücken; birthPlace; Ribeauvillé)","Christiane Henriette of Palatinate-Zweibrücken-Birkenfeld (16 November 1725, Ribeauvillé – 11 February 1816, Arolsen) was a Countess of Palatine of Zweibrücken-Birkenfeld by birth and by marriage a Princess of Waldeck-Pyrmont.Christiane Henriette was the daughter of the Count Palatine and Duke Christian III of Zweibrücken (1674–1835) from his marriage to Caroline of Nassau-Saarbrücken (1704–1874), daughter of Louis Crato, Count of Nassau-Saarbrücken.",(Sharon Olds; birthPlace; San Francisco),"[4]Sharon Olds was born on November 19, 1942 in San Francisco, California,[5] but was brought up in Berkeley, California[3] along with her siblings.",(Eduardo Parraguez; hypernym; Mayor),"Víctor Eduardo Parraguez Galarce (born 21 October 1935) was the 32nd Mayor of the commune of Pichilemu, office which he held between 1975 and 1979, after being appointed by the government junta presided by General Augusto Pinochet.",(Steve Austria; birthPlace; Cincinnati),"[4]Austria was born in Cincinnati, the son of Jean C. (née Brockman),[5] a nurse, and Dr. Clement G.",(Countess Palatine Maria Anna of Zweibrücken-Birkenfeld; birthPlace; Schwetzingen),"Maria Anna was a great-grandmother of Empress Elisabeth of Austria through his son Duke Pius August in BavariaMaria Anna was born in Schwetzingen, as the second daughter of Count Palatine Frederick Michael of Palatinate-Zweibrücken-Birkenfeld-Bischweiler and his wife, Countess Palatine Maria Francisca of Palatinate-Sulzbach.","(Mary I of England; birthDate; February 18, 1516)","Mary I (18 February 1516 – 17 November 1558), also known as Mary Tudor, was the Queen of England and Ireland from July 1553 until her death.",(Darcey Bussell; hypernym; Ballerina),"[17]In 2004, Bussell was the subject of a documentary titled Britain's Ballerina."
"(Elizabeth H. Roberts; birthDate; April 17, 1957)","Elizabeth H. Roberts (born April 17, 1957) was the 68th Lieutenant Governor of the State of Rhode Island from 2007 to 2015.",(Randolph Churchill; spouse; Pamela Harriman),"Pamela had to go to Beaverbrook, who refused her an advance on Randolph's salary.",(Angela Bassett; hypernym; Actress),"Angela Evelyn Bassett (born August 16, 1958) is an American actress and activist known for her biographical film roles, most notably her performance as Tina Turner in the biopic What's Love Got to Do with It (1993), for which she was nominated for the Academy Award for Best Actress and won the Golden Globe Award for Best Actress – Motion Picture Comedy or Musical.","(Robert P. Briscoe; birthPlace; Centreville, Mississippi)","He was a native of Centreville, Mississippi[2] born February 19, 1897, to Pearce and Alice Briscoe.",(Jeff Landry; spouse; Sharon LeBlanc),"[43]Landry and his wife, the former Sharon LeBlanc, have one son, J. T. Landry (born 2004).",(Shreya Ghoshal; hypernym; Singer),"Following that, she made her Bollywood playback singing debut with Bhansali's romantic drama Devdas (2002) for which she received a National Film Award, a Filmfare Award for Best Female Playback Singer and a Filmfare RD Burman Award for New Music Talent.Apart from playback singing, Ghoshal has appeared as a judge on several television reality shows and she also appears in music videos.","(Charles Tupper; birthDate; July 2, 1821)","Sir Charles Tupper, 1st Baronet, GCMG, CB, PC (July 2, 1821 – October 30, 1915) was a Canadian father of Confederation:[1] as the premier of Nova Scotia from 1864 to 1867, he led Nova Scotia into Confederation.",(Carl XVI Gustaf of Sweden; hypernym; King),King Carl Gustaf made an appearance at the 2013 Boy Scouts of America National Jamboree in West Virginia.,(Judith Edelman; hypernym; Architect),"[3]Edelman was a frequent campaigner for the advancement of women architects and insisted that women should become involved in the American Institute of Architects although it was ""an exclusive gentleman's club"".",(Lady Bird Johnson; hypernym; Lady),"[35]Eventually, Lady Bird's initial $41,000 investment turned into more than $150 million for the LBJ Holding Company."
